Observation	x1	x2	x3	x4	d2
1	1889	1651	1561	1778	0.60
2	2403	2048	2087	2197	5.48
3	2119	1700	1815	2222	7.62
4	1645	1627	1110	1533	5.21
5	1976	1916	1614	1883	1.40
6	1712	1712	1439	1546	2.22
7	1943	1685	1271	1671	4.99
8	2104	1820	1717	1874	1.49
9	2983	2794	2412	2581	12.26
10	1745	1600	1384	1508	0.77
11	1710	1591	1518	1667	1.93
12	2046	1907	1627	1898	0.46
13	1840	1841	1595	1741	2.70
14	1867	1685	1493	1678	0.13
15	1859	1649	1389	1714	1.08
16	1954	2149	1180	1281	16.85
17	1325	1170	1002	1176	3.50
18	1419	1371	1252	1308	3.99
19	1828	1634	1602	1755	1.36
20	1725	1594	1313	1646	1.46
21	2276	2189	1547	2111	9.90
22	1899	1614	1422	1477	5.06
23	1633	1513	1290	1516	0.80
24	2061	1867	1646	2037	2.54
25	1856	1493	1356	1533	4.58
26	1727	1412	1238	1469	3.40
27	2168	1896	1701	1834	2.38
28	1655	1675	1414	1597	3.00
29	2326	2301	2065	2234	6.28
30	1490	1382	1214	1284	2.58
